"algorithm","n_elements","run","iterations","ns_per_op","ms_per_op"
quicksort,1000,1,15330,79333,0.079
quicksort,1000,2,15561,78729,0.079
quicksort,1000,3,16417,76548,0.077
quicksort,1000,4,15152,81487,0.081
quicksort,1000,5,15468,78990,0.079
quicksort,1000,6,16838,74588,0.075
quicksort,1000,7,17066,74675,0.075
quicksort,1000,8,15916,76962,0.077
quicksort,1000,9,16095,76835,0.077
quicksort,1000,10,17253,75213,0.075
quicksort,10000,1,1453,826960,0.827
quicksort,10000,2,1468,839074,0.839
quicksort,10000,3,1375,839279,0.839
quicksort,10000,4,1478,843916,0.844
quicksort,10000,5,1446,869906,0.870
quicksort,10000,6,1274,825120,0.825
quicksort,10000,7,1414,855236,0.855
quicksort,10000,8,1431,851895,0.852
quicksort,10000,9,1458,814673,0.815
quicksort,10000,10,1480,861085,0.861
quicksort,100000,1,121,9779827,9.780
quicksort,100000,2,123,10310212,10.310
quicksort,100000,3,122,9676098,9.676
quicksort,100000,4,122,9830500,9.831
quicksort,100000,5,126,9795456,9.795
quicksort,100000,6,120,9696800,9.697
quicksort,100000,7,123,9886453,9.886
quicksort,100000,8,100,10025982,10.026
quicksort,100000,9,122,10066697,10.067
quicksort,100000,10,122,10011205,10.011

